현재소속(파일),선수명,기록보유여부,보유시즌수
서울 삼성,박진철,Y,5
서울 삼성,신동혁,Y,3
서울 삼성,안세준,N,0
서울 삼성,여준형,Y,3
서울 삼성,윤성원,Y,6
서울 삼성,이관희,Y,15
서울 삼성,이규태,Y,1
서울 삼성,이근휘,Y,5
서울 삼성,이대성,Y,11
서울 삼성,임동언,Y,2
서울 삼성,저스틴 구탕,Y,4
서울 삼성,정성조,Y,3
서울 삼성,조준희,Y,2
서울 삼성,최성모,Y,10
서울 삼성,최현민,Y,14
서울 삼성,케렘 칸터,Y,1
서울 삼성,한호빈,Y,12
서울 삼성,황영찬,Y,2
서울 삼성,크리스 맥컬러,Y,2
수원 KT,강성욱,Y,1
수원 KT,김선형,Y,15
수원 KT,김준환,Y,4
수원 KT,문성곤,Y,10
수원 KT,문정현,Y,3
수원 KT,박민재,Y,1
수원 KT,박지원,Y,5
수원 KT,서민수,Y,10
수원 KT,이두원,Y,4
수원 KT,이현석,Y,10
수원 KT,전성현,Y,11
수원 KT,정창영,Y,13
수원 KT,조환희,Y,1
수원 KT,하윤기,Y,5
수원 KT,한희원,Y,11
수원 KT,패리스 배스,Y,1
수원 KT,트레이 포터,N,0
수원 KT,미구엘 안드레 옥존,Y,3
안양 정관장,김세창,Y,4
안양 정관장,김종규,Y,14
안양 정관장,김준형,Y,7
안양 정관장,김진영,Y,4
안양 정관장,렌즈 아반도,Y,3
안양 정관장,문유현,Y,1
안양 정관장,박정웅,Y,2
안양 정관장,박지훈,Y,10
안양 정관장,박찬호,Y,6
안양 정관장,변준형,Y,7
안양 정관장,송한준,Y,1
안양 정관장,이대헌,Y,10
안양 정관장,주현우,Y,2
안양 정관장,표승빈,Y,2
안양 정관장,한승희,Y,5
안양 정관장,허일영,Y,16
안양 정관장,존 무니,N,0
안양 정관장,라숀 토마스,Y,1
울산 현대모비스,김건하,Y,1
울산 현대모비스,김경원,Y,6
울산 현대모비스,김동준,Y,4
울산 현대모비스,김태완,Y,3
울산 현대모비스,박무빈,Y,3
울산 현대모비스,박정환,Y,1
울산 현대모비스,배병준,Y,11
울산 현대모비스,서명진,Y,8
울산 현대모비스,이대균,Y,2
울산 현대모비스,이도헌,Y,5
울산 현대모비스,이승현,Y,11
울산 현대모비스,정준원,Y,10
울산 현대모비스,조한진,Y,7
울산 현대모비스,최강민,Y,1
울산 현대모비스,다리우스 베즐리,N,0
울산 현대모비스,게이지 프림,Y,3
울산 현대모비스,제리 아바디아노,N,0
원주 DB,강상재,Y,9
원주 DB,김보배,Y,2
원주 DB,김휴범,Y,1
원주 DB,박봉진,Y,7
원주 DB,백승엽,Y,2
원주 DB,송재환,N,0
원주 DB,이선 알바노,Y,4
원주 DB,이용우,Y,5
원주 DB,이유진,Y,1
원주 DB,이윤기,Y,5
