team,name,number,position,height_cm,weight_kg,nationality
창원 LG 세이커스,김종호,0.0,포인트 가드,184.4,80.0,KOR
창원 LG 세이커스,유기상,1.0,슈팅 가드,188.0,85.5,KOR
창원 LG 세이커스,김선우,2.0,포인트 가드,172.8,73.0,KOR
창원 LG 세이커스,김준영,4.0,포인트 가드,178.9,69.0,KOR
창원 LG 세이커스,양준석,5.0,포인트 가드,180.0,74.6,KOR
창원 LG 세이커스,한상혁,6.0,포인트 가드,183.0,78.0,KOR
창원 LG 세이커스,최형찬,7.0,슈팅 가드,187.6,84.2,KOR
창원 LG 세이커스,아치 굿윈,8.0,가드,196.0,90.0,USA
창원 LG 세이커스,윤원상,10.0,포인트 가드/슈팅 가드,181.0,74.5,KOR
창원 LG 세이커스,장민국,3.0,파워 포워드/스몰 포워드,200.0,94.0,KOR
창원 LG 세이커스,임정현,9.0,스몰 포워드,191.3,90.0,KOR
창원 LG 세이커스,양홍석,11.0,스몰 포워드,195.0,97.0,KOR
창원 LG 세이커스,정인덕,16.0,스몰 포워드,196.0,83.0,KOR
창원 LG 세이커스,문시윤,20.0,파워 포워드,198.2,100.0,KOR
창원 LG 세이커스,이광진,21.0,스몰 포워드,193.8,87.0,KOR
창원 LG 세이커스,칼 타마요,33.0,파워 포워드,203.0,92.0,PHI
창원 LG 세이커스,지용현,25.0,센터,201.0,97.0,KOR
창원 LG 세이커스,박정현,31.0,센터,202.6,114.0,KOR
창원 LG 세이커스,아셈 마레이,50.0,센터,206.0,113.0,EGY
서울 SK 나이츠,이민서,1.0,포인트 가드/슈팅 가드,179.5,78.0,KOR
서울 SK 나이츠,최원혁,3.0,포인트 가드,183.0,81.0,KOR
서울 SK 나이츠,김낙현,4.0,포인트 가드/슈팅 가드,183.7,92.0,KOR
서울 SK 나이츠,전성환,6.0,포인트 가드,178.2,77.2,KOR
서울 SK 나이츠,안성우,12.0,가드,183.7,81.0,KOR
서울 SK 나이츠,오재현,22.0,포인트 가드/슈팅 가드,186.4,85.0,KOR
서울 SK 나이츠,임현택,2.0,파워 포워드,196.8,83.9,KOR
서울 SK 나이츠,안영준,8.0,스몰 포워드,194.1,95.0,KOR
서울 SK 나이츠,최부경,14.0,파워 포워드/센터,200.0,105.0,KOR
서울 SK 나이츠,김명진,20.0,파워 포워드,198.5,91.0,KOR
서울 SK 나이츠,김형빈,23.0,스몰 포워드/파워 포워드,200.5,95.0,KOR
서울 SK 나이츠,알빈 톨렌티노,25.0,스몰 포워드/파워 포워드,196.0,95.0,PHI
서울 SK 나이츠,에디 다니엘,36.0,스몰 포워드/파워 포워드,192.0,95.0,KOR
서울 SK 나이츠,오세근,41.0,파워 포워드/센터,199.8,108.0,KOR
서울 SK 나이츠,전준범,99.0,스몰 포워드,194.4,80.0,KOR
서울 SK 나이츠,선상혁,11.0,센터,205.2,105.0,KOR
서울 SK 나이츠,자밀 워니,34.0,센터,199.0,116.0,USA
서울 SK 나이츠,프레디,35.0,센터,201.5,103.0,KOR
서울 SK 나이츠,아이재아 힉스,99.0,센터/파워 포워드,202.0,100.0,USA
원주 DB 프로미,이준희,1.0,포인트 가드/슈팅 가드,193.5,85.0,KOR
원주 DB 프로미,송재환,16.0,슈팅 가드,187.6,85.0,KOR
원주 DB 프로미,이정현,3.0,슈팅 가드,190.0,100.0,KOR
원주 DB 프로미,백승엽,37.0,가드,184.0,80.0,KOR
원주 DB 프로미,정호영,5.0,가드,186.3,68.2,KOR
원주 DB 프로미,이용우,7.0,슈팅 가드,185.3,75.0,KOR
원주 DB 프로미,이선 알바노,17.0,포인트 가드/슈팅 가드,185.0,78.0,PHI
원주 DB 프로미,최성원,19.0,포인트 가드,183.0,71.0,KOR
원주 DB 프로미,김휴범,20.0,포인트 가드,178.3,72.0,KOR
원주 DB 프로미,조은후,2.0,포인트 가드,187.5,82.0,KOR
원주 DB 프로미,이유진,6.0,포워드,199.8,84.0,KOR
원주 DB 프로미,헨리 엘런슨,8.0,포워드,208.0,110.0,USA
원주 DB 프로미,김보배,10.0,파워 포워드/센터,203.0,96.0,KOR
원주 DB 프로미,정효근,12.0,스몰 포워드/파워 포워드,200.0,103.0,KOR
원주 DB 프로미,인승찬,11.0,포워드,195.9,93.0,KOR
원주 DB 프로미,박봉진,24.0,파워 포워드,193.1,99.0,KOR
원주 DB 프로미,강상재,26.0,스몰 포워드/파워 포워드,200.0,98.0,KOR
원주 DB 프로미,이윤기,13.0,스몰 포워드,189.0,94.4,KOR
원주 DB 프로미,레이션 해먼즈,22.0,파워 포워드,201.0,109.0,USA
원주 DB 프로미,이윤수,99.0,센터,202.7,107.0,KOR
안양 정관장 레드부스터스,김진영,1.0,슈팅 가드,193.0,67.0,KOR
안양 정관장 레드부스터스,김세창,2.0,포인트 가드,183.0,73.0,KOR
안양 정관장 레드부스터스,박정웅,4.0,슈팅 가드,193.0,81.0,KOR
안양 정관장 레드부스터스,변준형,5.0,포인트 가드/슈팅 가드,185.3,95.0,KOR
안양 정관장 레드부스터스,박지훈,6.0,포인트 가드,184.0,75.0,KOR
안양 정관장 레드부스터스,렌즈 아반도,12.0,슈팅 가드/스몰 포워드,187.0,73.0,PHI
안양 정관장 레드부스터스,문유현,24.0,포인트 가드,180.1,78.5,KOR
안양 정관장 레드부스터스,표승빈,7.0,스몰 포워드/슈팅 가드,189.2,90.0,KOR
