team,name,number,position,height_cm,weight_kg,nationality
창원 LG 세이커스,김종호,0,포인트 가드,184.4,80,KOR
창원 LG 세이커스,유기상,1,슈팅 가드,188,85.5,KOR
창원 LG 세이커스,김선우,2,포인트 가드,172.8,73,KOR
창원 LG 세이커스,김준영,4,포인트 가드,178.9,69,KOR
창원 LG 세이커스,양준석,5,포인트 가드,180,74.6,KOR
창원 LG 세이커스,한상혁,6,포인트 가드,183,78,KOR
창원 LG 세이커스,최형찬,7,슈팅 가드,187.6,84.2,KOR
창원 LG 세이커스,아치 굿윈,8,가드,196,90,USA
창원 LG 세이커스,윤원상,10,포인트 가드/슈팅 가드,181,74.5,KOR
창원 LG 세이커스,장민국,3,파워 포워드/스몰 포워드,200,94,KOR
창원 LG 세이커스,임정현,9,스몰 포워드,191.3,90,KOR
창원 LG 세이커스,양홍석,11,스몰 포워드,195,97,KOR
창원 LG 세이커스,정인덕,16,스몰 포워드,196,83,KOR
창원 LG 세이커스,문시윤,20,파워 포워드,198.2,100,KOR
창원 LG 세이커스,이광진,21,스몰 포워드,193.8,87,KOR
창원 LG 세이커스,칼 타마요,33,파워 포워드,203,92,PHI
창원 LG 세이커스,나성호,99,스몰 포워드,189,83,KOR
창원 LG 세이커스,지용현,25,센터,201,97,KOR
창원 LG 세이커스,박정현,31,센터,202.6,114,KOR
창원 LG 세이커스,아셈 마레이,50,센터,206,113,EGY
서울 SK 나이츠,이민서,1,포인트 가드/슈팅 가드,179.5,78,KOR
서울 SK 나이츠,최원혁,3,포인트 가드,183,81,KOR
서울 SK 나이츠,김낙현,4,포인트 가드/슈팅 가드,183.7,92,KOR
서울 SK 나이츠,전성환,6,포인트 가드,178.2,77.2,KOR
서울 SK 나이츠,안성우,12,가드,183.7,81,KOR
서울 SK 나이츠,오재현,22,포인트 가드/슈팅 가드,186.4,85,KOR
서울 SK 나이츠,임현택,2,파워 포워드,196.8,83.9,KOR
서울 SK 나이츠,안영준,8,스몰 포워드,194.1,95,KOR
서울 SK 나이츠,최부경,14,파워 포워드/센터,200,105,KOR
서울 SK 나이츠,김명진,20,파워 포워드,198.5,91,KOR
서울 SK 나이츠,김형빈,23,스몰 포워드/파워 포워드,200.5,95,KOR
서울 SK 나이츠,알빈 톨렌티노,25,스몰 포워드/파워 포워드,196,95,PHI
서울 SK 나이츠,에디 다니엘,36,스몰 포워드/파워 포워드,192,95,KOR
서울 SK 나이츠,오세근,41,파워 포워드/센터,199.8,108,KOR
서울 SK 나이츠,전준범,99,스몰 포워드,194.4,80,KOR
서울 SK 나이츠,선상혁,11,센터,205.2,105,KOR
서울 SK 나이츠,양준,15,센터,200,110,KOR
서울 SK 나이츠,자밀 워니,34,센터,199,116,USA
서울 SK 나이츠,프레디 무티바,35,센터,201.5,103,COD
서울 SK 나이츠,아이재아 힉스,99,센터/파워 포워드,202,100,USA
원주 DB 프로미,이준희,1,포인트 가드/슈팅 가드,193.5,85,KOR
원주 DB 프로미,송재환,16,슈팅 가드,187.6,85,KOR
원주 DB 프로미,이정현,3,슈팅 가드,190,100,KOR
원주 DB 프로미,백승엽,37,가드,184,80,KOR
원주 DB 프로미,정호영,5,가드,186.3,68.2,KOR
원주 DB 프로미,이용우,7,슈팅 가드,185.3,75,KOR
원주 DB 프로미,이선 알바노,17,포인트 가드/슈팅 가드,185,78,PHI
원주 DB 프로미,최성원,19,포인트 가드,183,71,KOR
원주 DB 프로미,김휴범,20,포인트 가드,178.3,72,KOR
원주 DB 프로미,조은후,2,포인트 가드,187.5,82,KOR
원주 DB 프로미,이유진,6,포워드,199.8,84,KOR
원주 DB 프로미,헨리 엘런슨,8,포워드,208,110,USA
원주 DB 프로미,김보배,10,파워 포워드/센터,203,96,KOR
원주 DB 프로미,정효근,12,스몰 포워드/파워 포워드,200,103,KOR
원주 DB 프로미,인승찬,11,포워드,195.9,93,KOR
원주 DB 프로미,박봉진,24,파워 포워드,193.1,99,KOR
